Kigdom	phylum	Class	Order	Family	Genus	Species	Subspecies	TaxID
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Psammobates	Psammobates oculiferus	Unassigned	286023
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Kinixys	Kinixys spekii	Unassigned	286024
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Kinixys	Kinixys natalensis	Unassigned	286025
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Astrochelys	Astrochelys sp. CKehlmaier-2022a	Unassigned	2926749
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Batagur	Batagur affinis	Batagur affinis affinis	3002594
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Pelodiscus	Pelodiscus shipian	Unassigned	3003843
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Pseudemys	Pseudemys nelsoni	Unassigned	301539
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Trachemys	Trachemys dorbigni	Unassigned	31137
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Trachemys	Trachemys scripta	Trachemys scripta elegans	31138
Eukaryota	Chordata	Unassigned	Testudines	Chelidae	Elseya	Elseya lavarackorum	Unassigned	321138
Eukaryota	Chordata	Unassigned	Testudines	Chelidae	Elseya	Elseya irwini	Unassigned	321139
Eukaryota	Chordata	Unassigned	Testudines	Podocnemididae	Peltocephalus	Peltocephalus dumerilianus	Unassigned	329145
Eukaryota	Chordata	Unassigned	Testudines	Pelomedusidae	Pelusios	Pelusios gabonensis	Unassigned	329147
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Lissemys	Lissemys punctata	Lissemys punctata andersoni	332366
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Emys	Emys trinacris	Unassigned	334583
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Glyptemys	Glyptemys insculpta	Unassigned	335392
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Actinemys	Actinemys marmorata	Unassigned	335395
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Graptemys	Graptemys barbouri	Unassigned	33563
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Graptemys	Graptemys caglei	Unassigned	33564
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Graptemys	Graptemys ernsti	Unassigned	33565
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Graptemys	Graptemys flavimaculata	Unassigned	33566
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Graptemys	Graptemys gibbonsi	Unassigned	33567
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Graptemys	Graptemys oculifera	Unassigned	33569
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Graptemys	Graptemys ouachitensis	Unassigned	33570
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Graptemys	Graptemys pseudogeographica	Unassigned	33571
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Graptemys	Graptemys pulchra	Unassigned	33572
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Graptemys	Graptemys versa	Unassigned	33573
